flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,ATL,clear-night,40.93,0.39,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:15:00,0,ATL,clear-night,40.93,0.39,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:30:00,0,ATL,clear-night,40.93,0.39,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:45:00,0,ATL,clear-night,40.93,0.39,10.0,Clear,2015-01-01 00:00:00
2015-01-01 01:00:00,0,ATL,clear-night,38.76,0.28,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:15:00,0,ATL,clear-night,38.76,0.28,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:30:00,0,ATL,clear-night,38.76,0.28,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:45:00,0,ATL,clear-night,38.76,0.28,10.0,Clear,2015-01-01 01:00:00
2015-01-01 02:00:00,0,ATL,clear-night,37.06,0.25,9.68,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,ATL,clear-night,37.06,0.25,9.68,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,ATL,clear-night,37.06,0.25,9.68,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,ATL,clear-night,37.06,0.25,9.68,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,ATL,clear-night,35.38,0.01,9.55,Clear,2015-01-01 03:00:00
2015-01-01 03:15:00,0,ATL,clear-night,35.38,0.01,9.55,Clear,2015-01-01 03:00:00
2015-01-01 03:30:00,0,ATL,clear-night,35.38,0.01,9.55,Clear,2015-01-01 03:00:00
2015-01-01 03:45:00,0,ATL,clear-night,35.38,0.01,9.55,Clear,2015-01-01 03:00:00
2015-01-01 04:00:00,0,ATL,clear-night,34.27,0.09,9.6,Clear,2015-01-01 04:00:00
2015-01-01 04:15:00,0,ATL,clear-night,34.27,0.09,9.6,Clear,2015-01-01 04:00:00
2015-01-01 04:30:00,0,ATL,clear-night,34.27,0.09,9.6,Clear,2015-01-01 04:00:00
2015-01-01 04:45:00,0,ATL,clear-night,34.27,0.09,9.6,Clear,2015-01-01 04:00:00
2015-01-01 05:00:00,0,ATL,clear-night,33.28,0.01,9.05,Clear,2015-01-01 05:00:00
2015-01-01 05:15:00,0,ATL,clear-night,33.28,0.01,9.05,Clear,2015-01-01 05:00:00
2015-01-01 05:30:00,1,ATL,clear-night,33.28,0.01,9.05,Clear,2015-01-01 05:00:00
2015-01-01 05:45:00,0,ATL,clear-night,33.28,0.01,9.05,Clear,2015-01-01 05:00:00
2015-01-01 06:00:00,1,ATL,clear-night,33.5,0.06,9.49,Clear,2015-01-01 06:00:00
2015-01-01 06:15:00,1,ATL,clear-night,33.5,0.06,9.49,Clear,2015-01-01 06:00:00
2015-01-01 06:30:00,0,ATL,clear-night,33.5,0.06,9.49,Clear,2015-01-01 06:00:00
2015-01-01 06:45:00,3,ATL,clear-night,33.5,0.06,9.49,Clear,2015-01-01 06:00:00
2015-01-01 07:00:00,3,ATL,clear-night,32.79,0.09,9.45,Clear,2015-01-01 07:00:00
2015-01-01 07:15:00,4,ATL,clear-night,32.79,0.09,9.45,Clear,2015-01-01 07:00:00
2015-01-01 07:30:00,2,ATL,clear-night,32.79,0.09,9.45,Clear,2015-01-01 07:00:00
2015-01-01 07:45:00,2,ATL,clear-night,32.79,0.09,9.45,Clear,2015-01-01 07:00:00
2015-01-01 08:00:00,8,ATL,clear-night,32.2,0.05,9.6,Clear,2015-01-01 08:00:00
2015-01-01 08:15:00,13,ATL,clear-night,32.2,0.05,9.6,Clear,2015-01-01 08:00:00
2015-01-01 08:30:00,6,ATL,clear-night,32.2,0.05,9.6,Clear,2015-01-01 08:00:00
2015-01-01 08:45:00,12,ATL,clear-night,32.2,0.05,9.6,Clear,2015-01-01 08:00:00
2015-01-01 09:00:00,11,ATL,clear-night,30.93,0.02,9.21,Clear,2015-01-01 09:00:00
2015-01-01 09:15:00,7,ATL,clear-night,30.93,0.02,9.21,Clear,2015-01-01 09:00:00
2015-01-01 09:30:00,17,ATL,clear-night,30.93,0.02,9.21,Clear,2015-01-01 09:00:00
2015-01-01 09:45:00,17,ATL,clear-night,30.93,0.02,9.21,Clear,2015-01-01 09:00:00
2015-01-01 10:00:00,12,ATL,clear-night,30.73,0.15,8.29,Clear,2015-01-01 10:00:00
2015-01-01 10:15:00,11,ATL,clear-night,30.73,0.15,8.29,Clear,2015-01-01 10:00:00
2015-01-01 10:30:00,13,ATL,clear-night,30.73,0.15,8.29,Clear,2015-01-01 10:00:00
2015-01-01 10:45:00,24,ATL,clear-night,30.73,0.15,8.29,Clear,2015-01-01 10:00:00
