flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,DEN,clear-night,18.56,0.39,5.69,Clear,2015-01-01 00:00:00
2015-01-01 00:15:00,0,DEN,clear-night,18.56,0.39,5.69,Clear,2015-01-01 00:00:00
2015-01-01 00:30:00,1,DEN,clear-night,18.56,0.39,5.69,Clear,2015-01-01 00:00:00
2015-01-01 00:45:00,0,DEN,clear-night,18.56,0.39,5.69,Clear,2015-01-01 00:00:00
2015-01-01 01:00:00,0,DEN,clear-night,15.52,0.13,2.29,Clear,2015-01-01 01:00:00
2015-01-01 01:15:00,1,DEN,clear-night,15.52,0.13,2.29,Clear,2015-01-01 01:00:00
2015-01-01 01:30:00,0,DEN,clear-night,15.52,0.13,2.29,Clear,2015-01-01 01:00:00
2015-01-01 01:45:00,0,DEN,clear-night,15.52,0.13,2.29,Clear,2015-01-01 01:00:00
2015-01-01 02:00:00,0,DEN,clear-night,13.14,0.48,5.22,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,DEN,clear-night,13.14,0.48,5.22,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,DEN,clear-night,13.14,0.48,5.22,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,DEN,clear-night,13.14,0.48,5.22,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,DEN,clear-night,11.73,0.8,2.29,Clear,2015-01-01 03:00:00
2015-01-01 03:15:00,0,DEN,clear-night,11.73,0.8,2.29,Clear,2015-01-01 03:00:00
2015-01-01 03:30:00,0,DEN,clear-night,11.73,0.8,2.29,Clear,2015-01-01 03:00:00
2015-01-01 03:45:00,0,DEN,clear-night,11.73,0.8,2.29,Clear,2015-01-01 03:00:00
2015-01-01 04:00:00,0,DEN,clear-night,10.71,1.42,5.62,Clear,2015-01-01 04:00:00
2015-01-01 04:15:00,0,DEN,clear-night,10.71,1.42,5.62,Clear,2015-01-01 04:00:00
2015-01-01 04:30:00,0,DEN,clear-night,10.71,1.42,5.62,Clear,2015-01-01 04:00:00
