flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,DFW,cloudy,33.43,3.27,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:15:00,0,DFW,cloudy,33.43,3.27,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:30:00,0,DFW,cloudy,33.43,3.27,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:45:00,0,DFW,cloudy,33.43,3.27,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 01:00:00,0,DFW,cloudy,33.43,2.25,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:15:00,0,DFW,cloudy,33.43,2.25,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:30:00,0,DFW,cloudy,33.43,2.25,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:45:00,0,DFW,cloudy,33.43,2.25,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 02:00:00,0,DFW,cloudy,33.59,1.87,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:15:00,0,DFW,cloudy,33.59,1.87,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:30:00,0,DFW,cloudy,33.59,1.87,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:45:00,0,DFW,cloudy,33.59,1.87,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 03:00:00,0,DFW,cloudy,33.66,1.65,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:15:00,0,DFW,cloudy,33.66,1.65,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:30:00,0,DFW,cloudy,33.66,1.65,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:45:00,0,DFW,cloudy,33.66,1.65,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 04:00:00,0,DFW,cloudy,33.82,1.3,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:15:00,0,DFW,cloudy,33.82,1.3,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:30:00,0,DFW,cloudy,33.82,1.3,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:45:00,0,DFW,cloudy,33.82,1.3,10.0,Overcast,2015-01-01 04:00:00
