flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,IAH,cloudy,44.44,2.43,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:15:00,0,IAH,cloudy,44.44,2.43,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:30:00,0,IAH,cloudy,44.44,2.43,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:45:00,0,IAH,cloudy,44.44,2.43,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 01:00:00,0,IAH,cloudy,44.19,2.93,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:15:00,0,IAH,cloudy,44.19,2.93,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:30:00,0,IAH,cloudy,44.19,2.93,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:45:00,0,IAH,cloudy,44.19,2.93,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 02:00:00,0,IAH,cloudy,44.07,3.21,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:15:00,0,IAH,cloudy,44.07,3.21,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:30:00,0,IAH,cloudy,44.07,3.21,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:45:00,0,IAH,cloudy,44.07,3.21,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 03:00:00,0,IAH,cloudy,43.99,2.6,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:15:00,0,IAH,cloudy,43.99,2.6,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:30:00,0,IAH,cloudy,43.99,2.6,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:45:00,0,IAH,cloudy,43.99,2.6,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 04:00:00,0,IAH,cloudy,43.81,2.12,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:15:00,0,IAH,cloudy,43.81,2.12,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:30:00,0,IAH,cloudy,43.81,2.12,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 04:45:00,0,IAH,cloudy,43.81,2.12,10.0,Overcast,2015-01-01 04:00:00
2015-01-01 05:00:00,0,IAH,cloudy,43.74,2.24,10.0,Overcast,2015-01-01 05:00:00
2015-01-01 05:15:00,1,IAH,cloudy,43.74,2.24,10.0,Overcast,2015-01-01 05:00:00
2015-01-01 05:30:00,0,IAH,cloudy,43.74,2.24,10.0,Overcast,2015-01-01 05:00:00
2015-01-01 05:45:00,0,IAH,cloudy,43.74,2.24,10.0,Overcast,2015-01-01 05:00:00
2015-01-01 06:00:00,2,IAH,cloudy,43.58,1.9,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:15:00,1,IAH,cloudy,43.58,1.9,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:30:00,1,IAH,cloudy,43.58,1.9,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:45:00,0,IAH,cloudy,43.58,1.9,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 07:00:00,2,IAH,cloudy,43.46,1.8,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:15:00,13,IAH,cloudy,43.46,1.8,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:30:00,3,IAH,cloudy,43.46,1.8,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:45:00,1,IAH,cloudy,43.46,1.8,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 08:00:00,2,IAH,cloudy,43.05,0.85,10.0,Overcast,2015-01-01 08:00:00
2015-01-01 08:15:00,0,IAH,cloudy,43.05,0.85,10.0,Overcast,2015-01-01 08:00:00
2015-01-01 08:30:00,0,IAH,cloudy,43.05,0.85,10.0,Overcast,2015-01-01 08:00:00
2015-01-01 08:45:00,7,IAH,cloudy,43.05,0.85,10.0,Overcast,2015-01-01 08:00:00
2015-01-01 09:00:00,22,IAH,cloudy,42.69,1.39,10.0,Overcast,2015-01-01 09:00:00
2015-01-01 09:15:00,10,IAH,cloudy,42.69,1.39,10.0,Overcast,2015-01-01 09:00:00
2015-01-01 09:30:00,0,IAH,cloudy,42.69,1.39,10.0,Overcast,2015-01-01 09:00:00
2015-01-01 09:45:00,1,IAH,cloudy,42.69,1.39,10.0,Overcast,2015-01-01 09:00:00
2015-01-01 10:00:00,5,IAH,cloudy,42.15,2.07,10.0,Overcast,2015-01-01 10:00:00
2015-01-01 10:15:00,27,IAH,cloudy,42.15,2.07,10.0,Overcast,2015-01-01 10:00:00
2015-01-01 10:30:00,7,IAH,cloudy,42.15,2.07,10.0,Overcast,2015-01-01 10:00:00
2015-01-01 10:45:00,1,IAH,cloudy,42.15,2.07,10.0,Overcast,2015-01-01 10:00:00
2015-01-01 11:00:00,3,IAH,cloudy,41.92,2.01,10.0,Overcast,2015-01-01 11:00:00
2015-01-01 11:15:00,12,IAH,cloudy,41.92,2.01,10.0,Overcast,2015-01-01 11:00:00
2015-01-01 11:30:00,8,IAH,cloudy,41.92,2.01,10.0,Overcast,2015-01-01 11:00:00
2015-01-01 11:45:00,9,IAH,cloudy,41.92,2.01,10.0,Overcast,2015-01-01 11:00:00
2015-01-01 12:00:00,2,IAH,cloudy,41.84,1.71,10.0,Overcast,2015-01-01 12:00:00
2015-01-01 12:15:00,4,IAH,cloudy,41.84,1.71,10.0,Overcast,2015-01-01 12:00:00
2015-01-01 12:30:00,2,IAH,cloudy,41.84,1.71,10.0,Overcast,2015-01-01 12:00:00
2015-01-01 12:45:00,29,IAH,cloudy,41.84,1.71,10.0,Overcast,2015-01-01 12:00:00
2015-01-01 13:00:00,13,IAH,cloudy,41.78,0.86,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:15:00,4,IAH,cloudy,41.78,0.86,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:30:00,5,IAH,cloudy,41.78,0.86,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:45:00,5,IAH,cloudy,41.78,0.86,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 14:00:00,6,IAH,cloudy,41.19,1.88,6.32,Overcast,2015-01-01 14:00:00
2015-01-01 14:15:00,3,IAH,cloudy,41.19,1.88,6.32,Overcast,2015-01-01 14:00:00
