flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,LAS,cloudy,39.63,5.46,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:15:00,1,LAS,cloudy,39.63,5.46,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:30:00,2,LAS,cloudy,39.63,5.46,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 00:45:00,1,LAS,cloudy,39.63,5.46,10.0,Overcast,2015-01-01 00:00:00
2015-01-01 01:00:00,2,LAS,cloudy,38.84,5.76,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:15:00,1,LAS,cloudy,38.84,5.76,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:30:00,1,LAS,cloudy,38.84,5.76,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 01:45:00,1,LAS,cloudy,38.84,5.76,10.0,Overcast,2015-01-01 01:00:00
2015-01-01 02:00:00,0,LAS,cloudy,37.8,5.07,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:15:00,0,LAS,cloudy,37.8,5.07,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:30:00,0,LAS,cloudy,37.8,5.07,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 02:45:00,0,LAS,cloudy,37.8,5.07,10.0,Overcast,2015-01-01 02:00:00
2015-01-01 03:00:00,0,LAS,cloudy,37.05,5.17,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:15:00,0,LAS,cloudy,37.05,5.17,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:30:00,0,LAS,cloudy,37.05,5.17,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 03:45:00,0,LAS,cloudy,37.05,5.17,10.0,Overcast,2015-01-01 03:00:00
2015-01-01 04:00:00,0,LAS,partly-cloudy-night,36.11,4.28,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:15:00,0,LAS,partly-cloudy-night,36.11,4.28,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:30:00,0,LAS,partly-cloudy-night,36.11,4.28,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:45:00,0,LAS,partly-cloudy-night,36.11,4.28,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 05:00:00,0,LAS,partly-cloudy-night,35.3,3.35,10.0,Mostly Cloudy,2015-01-01 05:00:00
2015-01-01 05:15:00,0,LAS,partly-cloudy-night,35.3,3.35,10.0,Mostly Cloudy,2015-01-01 05:00:00
2015-01-01 05:30:00,0,LAS,partly-cloudy-night,35.3,3.35,10.0,Mostly Cloudy,2015-01-01 05:00:00
2015-01-01 05:45:00,0,LAS,partly-cloudy-night,35.3,3.35,10.0,Mostly Cloudy,2015-01-01 05:00:00
2015-01-01 06:00:00,5,LAS,cloudy,34.76,1.64,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:15:00,2,LAS,cloudy,34.76,1.64,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:30:00,2,LAS,cloudy,34.76,1.64,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 06:45:00,3,LAS,cloudy,34.76,1.64,10.0,Overcast,2015-01-01 06:00:00
2015-01-01 07:00:00,8,LAS,cloudy,34.57,1.31,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:15:00,2,LAS,cloudy,34.57,1.31,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:30:00,5,LAS,cloudy,34.57,1.31,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 07:45:00,2,LAS,cloudy,34.57,1.31,10.0,Overcast,2015-01-01 07:00:00
2015-01-01 08:00:00,10,LAS,partly-cloudy-night,34.23,1.15,10.0,Mostly Cloudy,2015-01-01 08:00:00
2015-01-01 08:15:00,2,LAS,partly-cloudy-night,34.23,1.15,10.0,Mostly Cloudy,2015-01-01 08:00:00
2015-01-01 08:30:00,2,LAS,partly-cloudy-night,34.23,1.15,10.0,Mostly Cloudy,2015-01-01 08:00:00
2015-01-01 08:45:00,1,LAS,partly-cloudy-night,34.23,1.15,10.0,Mostly Cloudy,2015-01-01 08:00:00
2015-01-01 09:00:00,11,LAS,cloudy,33.39,1.31,10.0,Overcast,2015-01-01 09:00:00
