flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,1,LAX,clear-day,55.12,1.97,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:15:00,1,LAX,clear-day,55.12,1.97,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:30:00,2,LAX,clear-day,55.12,1.97,10.0,Clear,2015-01-01 00:00:00
2015-01-01 00:45:00,0,LAX,clear-day,55.12,1.97,10.0,Clear,2015-01-01 00:00:00
2015-01-01 01:00:00,1,LAX,clear-night,52.79,1.77,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:15:00,1,LAX,clear-night,52.79,1.77,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:30:00,0,LAX,clear-night,52.79,1.77,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:45:00,0,LAX,clear-night,52.79,1.77,10.0,Clear,2015-01-01 01:00:00
2015-01-01 02:00:00,0,LAX,clear-night,50.73,2.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,LAX,clear-night,50.73,2.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,LAX,clear-night,50.73,2.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,LAX,clear-night,50.73,2.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,LAX,clear-night,49.46,2.29,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:15:00,0,LAX,clear-night,49.46,2.29,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:30:00,0,LAX,clear-night,49.46,2.29,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:45:00,0,LAX,clear-night,49.46,2.29,10.0,Clear,2015-01-01 03:00:00
2015-01-01 04:00:00,0,LAX,clear-night,48.08,1.68,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:15:00,0,LAX,clear-night,48.08,1.68,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:30:00,0,LAX,clear-night,48.08,1.68,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:45:00,0,LAX,clear-night,48.08,1.68,10.0,Clear,2015-01-01 04:00:00
2015-01-01 05:00:00,0,LAX,clear-night,46.89,0.72,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:15:00,0,LAX,clear-night,46.89,0.72,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:30:00,0,LAX,clear-night,46.89,0.72,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:45:00,3,LAX,clear-night,46.89,0.72,10.0,Clear,2015-01-01 05:00:00
2015-01-01 06:00:00,9,LAX,clear-night,45.21,0.65,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:15:00,3,LAX,clear-night,45.21,0.65,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:30:00,3,LAX,clear-night,45.21,0.65,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:45:00,5,LAX,clear-night,45.21,0.65,10.0,Clear,2015-01-01 06:00:00
2015-01-01 07:00:00,6,LAX,clear-night,44.33,0.75,9.81,Clear,2015-01-01 07:00:00
2015-01-01 07:15:00,3,LAX,clear-night,44.33,0.75,9.81,Clear,2015-01-01 07:00:00
2015-01-01 07:30:00,9,LAX,clear-night,44.33,0.75,9.81,Clear,2015-01-01 07:00:00
2015-01-01 07:45:00,1,LAX,clear-night,44.33,0.75,9.81,Clear,2015-01-01 07:00:00
2015-01-01 08:00:00,15,LAX,clear-night,43.36,0.88,9.96,Clear,2015-01-01 08:00:00
2015-01-01 08:15:00,9,LAX,clear-night,43.36,0.88,9.96,Clear,2015-01-01 08:00:00
2015-01-01 08:30:00,13,LAX,clear-night,43.36,0.88,9.96,Clear,2015-01-01 08:00:00
2015-01-01 08:45:00,4,LAX,clear-night,43.36,0.88,9.96,Clear,2015-01-01 08:00:00
2015-01-01 09:00:00,16,LAX,clear-night,42.45,0.86,9.45,Clear,2015-01-01 09:00:00
2015-01-01 09:15:00,10,LAX,clear-night,42.45,0.86,9.45,Clear,2015-01-01 09:00:00
2015-01-01 09:30:00,7,LAX,clear-night,42.45,0.86,9.45,Clear,2015-01-01 09:00:00
2015-01-01 09:45:00,9,LAX,clear-night,42.45,0.86,9.45,Clear,2015-01-01 09:00:00
2015-01-01 10:00:00,11,LAX,clear-night,41.24,0.85,9.27,Clear,2015-01-01 10:00:00
2015-01-01 10:15:00,7,LAX,clear-night,41.24,0.85,9.27,Clear,2015-01-01 10:00:00
2015-01-01 10:30:00,9,LAX,clear-night,41.24,0.85,9.27,Clear,2015-01-01 10:00:00
2015-01-01 10:45:00,10,LAX,clear-night,41.24,0.85,9.27,Clear,2015-01-01 10:00:00
2015-01-01 11:00:00,6,LAX,clear-night,40.32,0.94,9.37,Clear,2015-01-01 11:00:00
2015-01-01 11:15:00,9,LAX,clear-night,40.32,0.94,9.37,Clear,2015-01-01 11:00:00
2015-01-01 11:30:00,11,LAX,clear-night,40.32,0.94,9.37,Clear,2015-01-01 11:00:00
2015-01-01 11:45:00,12,LAX,clear-night,40.32,0.94,9.37,Clear,2015-01-01 11:00:00
2015-01-01 12:00:00,7,LAX,clear-night,39.37,0.77,9.57,Clear,2015-01-01 12:00:00
2015-01-01 12:15:00,8,LAX,clear-night,39.37,0.77,9.57,Clear,2015-01-01 12:00:00
2015-01-01 12:30:00,9,LAX,clear-night,39.37,0.77,9.57,Clear,2015-01-01 12:00:00
2015-01-01 12:45:00,15,LAX,clear-night,39.37,0.77,9.57,Clear,2015-01-01 12:00:00
2015-01-01 13:00:00,9,LAX,clear-night,39.15,1.33,9.92,Clear,2015-01-01 13:00:00
2015-01-01 13:15:00,11,LAX,clear-night,39.15,1.33,9.92,Clear,2015-01-01 13:00:00
2015-01-01 13:30:00,8,LAX,clear-night,39.15,1.33,9.92,Clear,2015-01-01 13:00:00
2015-01-01 13:45:00,8,LAX,clear-night,39.15,1.33,9.92,Clear,2015-01-01 13:00:00
2015-01-01 14:00:00,4,LAX,clear-night,38.92,1.25,9.84,Clear,2015-01-01 14:00:00
2015-01-01 14:15:00,9,LAX,clear-night,38.92,1.25,9.84,Clear,2015-01-01 14:00:00
2015-01-01 14:30:00,10,LAX,clear-night,38.92,1.25,9.84,Clear,2015-01-01 14:00:00
2015-01-01 14:45:00,8,LAX,clear-night,38.92,1.25,9.84,Clear,2015-01-01 14:00:00
2015-01-01 15:00:00,8,LAX,clear-night,39.67,1.57,10.0,Clear,2015-01-01 15:00:00
