flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,MSP,clear-night,10.04,4.54,9.97,Clear,2015-01-01 00:00:00
2015-01-01 00:15:00,0,MSP,clear-night,10.04,4.54,9.97,Clear,2015-01-01 00:00:00
2015-01-01 00:30:00,0,MSP,clear-night,10.04,4.54,9.97,Clear,2015-01-01 00:00:00
2015-01-01 00:45:00,0,MSP,clear-night,10.04,4.54,9.97,Clear,2015-01-01 00:00:00
2015-01-01 01:00:00,0,MSP,clear-night,9.92,4.5,9.96,Clear,2015-01-01 01:00:00
2015-01-01 01:15:00,1,MSP,clear-night,9.92,4.5,9.96,Clear,2015-01-01 01:00:00
2015-01-01 01:30:00,0,MSP,clear-night,9.92,4.5,9.96,Clear,2015-01-01 01:00:00
2015-01-01 01:45:00,0,MSP,clear-night,9.92,4.5,9.96,Clear,2015-01-01 01:00:00
2015-01-01 02:00:00,0,MSP,clear-night,10.0,4.79,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,MSP,clear-night,10.0,4.79,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,MSP,clear-night,10.0,4.79,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,MSP,clear-night,10.0,4.79,10.0,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,MSP,partly-cloudy-night,10.51,4.58,10.0,Mostly Cloudy,2015-01-01 03:00:00
2015-01-01 03:15:00,0,MSP,partly-cloudy-night,10.51,4.58,10.0,Mostly Cloudy,2015-01-01 03:00:00
2015-01-01 03:30:00,0,MSP,partly-cloudy-night,10.51,4.58,10.0,Mostly Cloudy,2015-01-01 03:00:00
2015-01-01 03:45:00,0,MSP,partly-cloudy-night,10.51,4.58,10.0,Mostly Cloudy,2015-01-01 03:00:00
2015-01-01 04:00:00,0,MSP,partly-cloudy-night,10.86,4.45,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:15:00,0,MSP,partly-cloudy-night,10.86,4.45,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:30:00,0,MSP,partly-cloudy-night,10.86,4.45,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 04:45:00,0,MSP,partly-cloudy-night,10.86,4.45,10.0,Mostly Cloudy,2015-01-01 04:00:00
2015-01-01 05:00:00,0,MSP,partly-cloudy-night,11.45,4.54,10.0,Partly Cloudy,2015-01-01 05:00:00
2015-01-01 05:15:00,0,MSP,partly-cloudy-night,11.45,4.54,10.0,Partly Cloudy,2015-01-01 05:00:00
2015-01-01 05:30:00,0,MSP,partly-cloudy-night,11.45,4.54,10.0,Partly Cloudy,2015-01-01 05:00:00
2015-01-01 05:45:00,1,MSP,partly-cloudy-night,11.45,4.54,10.0,Partly Cloudy,2015-01-01 05:00:00
2015-01-01 06:00:00,1,MSP,clear-night,12.32,5.42,9.97,Clear,2015-01-01 06:00:00
2015-01-01 06:15:00,2,MSP,clear-night,12.32,5.42,9.97,Clear,2015-01-01 06:00:00
2015-01-01 06:30:00,2,MSP,clear-night,12.32,5.42,9.97,Clear,2015-01-01 06:00:00
2015-01-01 06:45:00,3,MSP,clear-night,12.32,5.42,9.97,Clear,2015-01-01 06:00:00
2015-01-01 07:00:00,7,MSP,clear-night,12.55,4.75,9.97,Clear,2015-01-01 07:00:00
2015-01-01 07:15:00,0,MSP,clear-night,12.55,4.75,9.97,Clear,2015-01-01 07:00:00
2015-01-01 07:30:00,5,MSP,clear-night,12.55,4.75,9.97,Clear,2015-01-01 07:00:00
2015-01-01 07:45:00,1,MSP,clear-night,12.55,4.75,9.97,Clear,2015-01-01 07:00:00
2015-01-01 08:00:00,0,MSP,clear-night,13.7,4.75,9.97,Clear,2015-01-01 08:00:00
2015-01-01 08:15:00,2,MSP,clear-night,13.7,4.75,9.97,Clear,2015-01-01 08:00:00
2015-01-01 08:30:00,0,MSP,clear-night,13.7,4.75,9.97,Clear,2015-01-01 08:00:00
2015-01-01 08:45:00,6,MSP,clear-night,13.7,4.75,9.97,Clear,2015-01-01 08:00:00
2015-01-01 09:00:00,14,MSP,clear-night,14.34,4.66,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:15:00,10,MSP,clear-night,14.34,4.66,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:30:00,5,MSP,clear-night,14.34,4.66,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:45:00,1,MSP,clear-night,14.34,4.66,10.0,Clear,2015-01-01 09:00:00
2015-01-01 10:00:00,2,MSP,clear-night,14.95,4.48,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:15:00,1,MSP,clear-night,14.95,4.48,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:30:00,0,MSP,clear-night,14.95,4.48,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:45:00,0,MSP,clear-night,14.95,4.48,10.0,Clear,2015-01-01 10:00:00
2015-01-01 11:00:00,4,MSP,partly-cloudy-night,15.98,4.93,10.0,Partly Cloudy,2015-01-01 11:00:00
2015-01-01 11:15:00,15,MSP,partly-cloudy-night,15.98,4.93,10.0,Partly Cloudy,2015-01-01 11:00:00
2015-01-01 11:30:00,12,MSP,partly-cloudy-night,15.98,4.93,10.0,Partly Cloudy,2015-01-01 11:00:00
2015-01-01 11:45:00,3,MSP,partly-cloudy-night,15.98,4.93,10.0,Partly Cloudy,2015-01-01 11:00:00
2015-01-01 12:00:00,1,MSP,partly-cloudy-night,16.91,4.83,9.98,Mostly Cloudy,2015-01-01 12:00:00
2015-01-01 12:15:00,0,MSP,partly-cloudy-night,16.91,4.83,9.98,Mostly Cloudy,2015-01-01 12:00:00
2015-01-01 12:30:00,1,MSP,partly-cloudy-night,16.91,4.83,9.98,Mostly Cloudy,2015-01-01 12:00:00
2015-01-01 12:45:00,0,MSP,partly-cloudy-night,16.91,4.83,9.98,Mostly Cloudy,2015-01-01 12:00:00
2015-01-01 13:00:00,8,MSP,cloudy,17.81,4.26,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:15:00,12,MSP,cloudy,17.81,4.26,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:30:00,2,MSP,cloudy,17.81,4.26,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 13:45:00,2,MSP,cloudy,17.81,4.26,10.0,Overcast,2015-01-01 13:00:00
2015-01-01 14:00:00,2,MSP,cloudy,18.75,4.45,8.95,Overcast,2015-01-01 14:00:00
2015-01-01 14:15:00,2,MSP,cloudy,18.75,4.45,8.95,Overcast,2015-01-01 14:00:00
2015-01-01 14:30:00,1,MSP,cloudy,18.75,4.45,8.95,Overcast,2015-01-01 14:00:00
2015-01-01 14:45:00,1,MSP,cloudy,18.75,4.45,8.95,Overcast,2015-01-01 14:00:00
2015-01-01 15:00:00,0,MSP,cloudy,20.18,4.21,9.78,Overcast,2015-01-01 15:00:00
2015-01-01 15:15:00,8,MSP,cloudy,20.18,4.21,9.78,Overcast,2015-01-01 15:00:00
2015-01-01 15:30:00,18,MSP,cloudy,20.18,4.21,9.78,Overcast,2015-01-01 15:00:00
2015-01-01 15:45:00,15,MSP,cloudy,20.18,4.21,9.78,Overcast,2015-01-01 15:00:00
