flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,ORD,clear-night,17.55,6.83,7.64,Clear,2015-01-01 00:00:00
2015-01-01 00:15:00,0,ORD,clear-night,17.55,6.83,7.64,Clear,2015-01-01 00:00:00
2015-01-01 00:30:00,0,ORD,clear-night,17.55,6.83,7.64,Clear,2015-01-01 00:00:00
2015-01-01 00:45:00,0,ORD,clear-night,17.55,6.83,7.64,Clear,2015-01-01 00:00:00
2015-01-01 01:00:00,0,ORD,partly-cloudy-night,17.7,6.99,7.93,Partly Cloudy,2015-01-01 01:00:00
2015-01-01 01:15:00,0,ORD,partly-cloudy-night,17.7,6.99,7.93,Partly Cloudy,2015-01-01 01:00:00
2015-01-01 01:30:00,0,ORD,partly-cloudy-night,17.7,6.99,7.93,Partly Cloudy,2015-01-01 01:00:00
2015-01-01 01:45:00,0,ORD,partly-cloudy-night,17.7,6.99,7.93,Partly Cloudy,2015-01-01 01:00:00
2015-01-01 02:00:00,0,ORD,clear-night,17.72,6.53,7.88,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,ORD,clear-night,17.72,6.53,7.88,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,ORD,clear-night,17.72,6.53,7.88,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,ORD,clear-night,17.72,6.53,7.88,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,ORD,clear-night,17.91,6.39,7.88,Clear,2015-01-01 03:00:00
2015-01-01 03:15:00,0,ORD,clear-night,17.91,6.39,7.88,Clear,2015-01-01 03:00:00
2015-01-01 03:30:00,0,ORD,clear-night,17.91,6.39,7.88,Clear,2015-01-01 03:00:00
2015-01-01 03:45:00,0,ORD,clear-night,17.91,6.39,7.88,Clear,2015-01-01 03:00:00
2015-01-01 04:00:00,0,ORD,clear-night,17.82,6.25,7.88,Clear,2015-01-01 04:00:00
2015-01-01 04:15:00,0,ORD,clear-night,17.82,6.25,7.88,Clear,2015-01-01 04:00:00
2015-01-01 04:30:00,0,ORD,clear-night,17.82,6.25,7.88,Clear,2015-01-01 04:00:00
2015-01-01 04:45:00,0,ORD,clear-night,17.82,6.25,7.88,Clear,2015-01-01 04:00:00
2015-01-01 05:00:00,2,ORD,clear-night,17.77,6.85,7.88,Clear,2015-01-01 05:00:00
2015-01-01 05:15:00,0,ORD,clear-night,17.77,6.85,7.88,Clear,2015-01-01 05:00:00
2015-01-01 05:30:00,4,ORD,clear-night,17.77,6.85,7.88,Clear,2015-01-01 05:00:00
2015-01-01 05:45:00,1,ORD,clear-night,17.77,6.85,7.88,Clear,2015-01-01 05:00:00
2015-01-01 06:00:00,4,ORD,clear-night,17.5,7.15,7.88,Clear,2015-01-01 06:00:00
2015-01-01 06:15:00,0,ORD,clear-night,17.5,7.15,7.88,Clear,2015-01-01 06:00:00
2015-01-01 06:30:00,2,ORD,clear-night,17.5,7.15,7.88,Clear,2015-01-01 06:00:00
2015-01-01 06:45:00,1,ORD,clear-night,17.5,7.15,7.88,Clear,2015-01-01 06:00:00
2015-01-01 07:00:00,4,ORD,clear-night,17.16,6.96,7.88,Clear,2015-01-01 07:00:00
2015-01-01 07:15:00,5,ORD,clear-night,17.16,6.96,7.88,Clear,2015-01-01 07:00:00
2015-01-01 07:30:00,5,ORD,clear-night,17.16,6.96,7.88,Clear,2015-01-01 07:00:00
2015-01-01 07:45:00,1,ORD,clear-night,17.16,6.96,7.88,Clear,2015-01-01 07:00:00
2015-01-01 08:00:00,14,ORD,clear-night,16.66,6.59,7.88,Clear,2015-01-01 08:00:00
2015-01-01 08:15:00,7,ORD,clear-night,16.66,6.59,7.88,Clear,2015-01-01 08:00:00
2015-01-01 08:30:00,7,ORD,clear-night,16.66,6.59,7.88,Clear,2015-01-01 08:00:00
2015-01-01 08:45:00,8,ORD,clear-night,16.66,6.59,7.88,Clear,2015-01-01 08:00:00
2015-01-01 09:00:00,8,ORD,clear-night,16.17,6.77,7.88,Clear,2015-01-01 09:00:00
2015-01-01 09:15:00,4,ORD,clear-night,16.17,6.77,7.88,Clear,2015-01-01 09:00:00
2015-01-01 09:30:00,9,ORD,clear-night,16.17,6.77,7.88,Clear,2015-01-01 09:00:00
2015-01-01 09:45:00,18,ORD,clear-night,16.17,6.77,7.88,Clear,2015-01-01 09:00:00
2015-01-01 10:00:00,12,ORD,clear-night,15.65,6.4,7.88,Clear,2015-01-01 10:00:00
2015-01-01 10:15:00,18,ORD,clear-night,15.65,6.4,7.88,Clear,2015-01-01 10:00:00
2015-01-01 10:30:00,12,ORD,clear-night,15.65,6.4,7.88,Clear,2015-01-01 10:00:00
2015-01-01 10:45:00,14,ORD,clear-night,15.65,6.4,7.88,Clear,2015-01-01 10:00:00
2015-01-01 11:00:00,10,ORD,clear-night,15.22,5.89,7.88,Clear,2015-01-01 11:00:00
2015-01-01 11:15:00,6,ORD,clear-night,15.22,5.89,7.88,Clear,2015-01-01 11:00:00
2015-01-01 11:30:00,9,ORD,clear-night,15.22,5.89,7.88,Clear,2015-01-01 11:00:00
2015-01-01 11:45:00,17,ORD,clear-night,15.22,5.89,7.88,Clear,2015-01-01 11:00:00
2015-01-01 12:00:00,11,ORD,clear-night,15.18,6.52,7.88,Clear,2015-01-01 12:00:00
2015-01-01 12:15:00,9,ORD,clear-night,15.18,6.52,7.88,Clear,2015-01-01 12:00:00
2015-01-01 12:30:00,9,ORD,clear-night,15.18,6.52,7.88,Clear,2015-01-01 12:00:00
2015-01-01 12:45:00,8,ORD,clear-night,15.18,6.52,7.88,Clear,2015-01-01 12:00:00
2015-01-01 13:00:00,28,ORD,clear-night,15.21,5.38,7.88,Clear,2015-01-01 13:00:00
2015-01-01 13:15:00,18,ORD,clear-night,15.21,5.38,7.88,Clear,2015-01-01 13:00:00
2015-01-01 13:30:00,10,ORD,clear-night,15.21,5.38,7.88,Clear,2015-01-01 13:00:00
2015-01-01 13:45:00,16,ORD,clear-night,15.21,5.38,7.88,Clear,2015-01-01 13:00:00
2015-01-01 14:00:00,12,ORD,clear-day,15.53,5.83,7.88,Clear,2015-01-01 14:00:00
2015-01-01 14:15:00,7,ORD,clear-day,15.53,5.83,7.88,Clear,2015-01-01 14:00:00
2015-01-01 14:30:00,6,ORD,clear-day,15.53,5.83,7.88,Clear,2015-01-01 14:00:00
2015-01-01 14:45:00,13,ORD,clear-day,15.53,5.83,7.88,Clear,2015-01-01 14:00:00
2015-01-01 15:00:00,15,ORD,clear-day,17.38,6.26,7.88,Clear,2015-01-01 15:00:00
2015-01-01 15:15:00,12,ORD,clear-day,17.38,6.26,7.88,Clear,2015-01-01 15:00:00
2015-01-01 15:30:00,10,ORD,clear-day,17.38,6.26,7.88,Clear,2015-01-01 15:00:00
2015-01-01 15:45:00,6,ORD,clear-day,17.38,6.26,7.88,Clear,2015-01-01 15:00:00
2015-01-01 16:00:00,18,ORD,clear-day,20.43,6.82,7.88,Clear,2015-01-01 16:00:00
2015-01-01 16:15:00,14,ORD,clear-day,20.43,6.82,7.88,Clear,2015-01-01 16:00:00
2015-01-01 16:30:00,9,ORD,clear-day,20.43,6.82,7.88,Clear,2015-01-01 16:00:00
2015-01-01 16:45:00,12,ORD,clear-day,20.43,6.82,7.88,Clear,2015-01-01 16:00:00
2015-01-01 17:00:00,16,ORD,clear-day,23.61,7.13,7.88,Clear,2015-01-01 17:00:00
2015-01-01 17:15:00,17,ORD,clear-day,23.61,7.13,7.88,Clear,2015-01-01 17:00:00
2015-01-01 17:30:00,11,ORD,clear-day,23.61,7.13,7.88,Clear,2015-01-01 17:00:00
2015-01-01 17:45:00,7,ORD,clear-day,23.61,7.13,7.88,Clear,2015-01-01 17:00:00
2015-01-01 18:00:00,20,ORD,partly-cloudy-day,26.12,6.74,7.88,Partly Cloudy,2015-01-01 18:00:00
2015-01-01 18:15:00,12,ORD,partly-cloudy-day,26.12,6.74,7.88,Partly Cloudy,2015-01-01 18:00:00
2015-01-01 18:30:00,8,ORD,partly-cloudy-day,26.12,6.74,7.88,Partly Cloudy,2015-01-01 18:00:00
2015-01-01 18:45:00,11,ORD,partly-cloudy-day,26.12,6.74,7.88,Partly Cloudy,2015-01-01 18:00:00
2015-01-01 19:00:00,7,ORD,partly-cloudy-day,28.52,6.79,7.88,Partly Cloudy,2015-01-01 19:00:00
2015-01-01 19:15:00,6,ORD,partly-cloudy-day,28.52,6.79,7.88,Partly Cloudy,2015-01-01 19:00:00
2015-01-01 19:30:00,19,ORD,partly-cloudy-day,28.52,6.79,7.88,Partly Cloudy,2015-01-01 19:00:00
2015-01-01 19:45:00,13,ORD,partly-cloudy-day,28.52,6.79,7.88,Partly Cloudy,2015-01-01 19:00:00
2015-01-01 20:00:00,21,ORD,partly-cloudy-day,30.14,6.3,7.88,Mostly Cloudy,2015-01-01 20:00:00
