flight_time,flight_numbers,airport,icon,temperature,windSpeed,visibility,summary,weather_time
2015-01-01 00:00:00,0,SFO,partly-cloudy-day,56.64,1.93,10.0,Partly Cloudy,2015-01-01 00:00:00
2015-01-01 00:15:00,2,SFO,partly-cloudy-day,56.64,1.93,10.0,Partly Cloudy,2015-01-01 00:00:00
2015-01-01 00:30:00,1,SFO,partly-cloudy-day,56.64,1.93,10.0,Partly Cloudy,2015-01-01 00:00:00
2015-01-01 00:45:00,1,SFO,partly-cloudy-day,56.64,1.93,10.0,Partly Cloudy,2015-01-01 00:00:00
2015-01-01 01:00:00,0,SFO,clear-night,54.51,1.01,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:15:00,0,SFO,clear-night,54.51,1.01,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:30:00,0,SFO,clear-night,54.51,1.01,10.0,Clear,2015-01-01 01:00:00
2015-01-01 01:45:00,0,SFO,clear-night,54.51,1.01,10.0,Clear,2015-01-01 01:00:00
2015-01-01 02:00:00,0,SFO,clear-night,50.93,1.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:15:00,0,SFO,clear-night,50.93,1.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:30:00,0,SFO,clear-night,50.93,1.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 02:45:00,0,SFO,clear-night,50.93,1.01,10.0,Clear,2015-01-01 02:00:00
2015-01-01 03:00:00,0,SFO,clear-night,48.83,0.8,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:15:00,0,SFO,clear-night,48.83,0.8,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:30:00,0,SFO,clear-night,48.83,0.8,10.0,Clear,2015-01-01 03:00:00
2015-01-01 03:45:00,0,SFO,clear-night,48.83,0.8,10.0,Clear,2015-01-01 03:00:00
2015-01-01 04:00:00,0,SFO,clear-night,46.72,0.07,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:15:00,0,SFO,clear-night,46.72,0.07,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:30:00,0,SFO,clear-night,46.72,0.07,10.0,Clear,2015-01-01 04:00:00
2015-01-01 04:45:00,0,SFO,clear-night,46.72,0.07,10.0,Clear,2015-01-01 04:00:00
2015-01-01 05:00:00,0,SFO,clear-night,45.51,0.26,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:15:00,0,SFO,clear-night,45.51,0.26,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:30:00,1,SFO,clear-night,45.51,0.26,10.0,Clear,2015-01-01 05:00:00
2015-01-01 05:45:00,1,SFO,clear-night,45.51,0.26,10.0,Clear,2015-01-01 05:00:00
2015-01-01 06:00:00,10,SFO,clear-night,44.96,0.26,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:15:00,1,SFO,clear-night,44.96,0.26,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:30:00,4,SFO,clear-night,44.96,0.26,10.0,Clear,2015-01-01 06:00:00
2015-01-01 06:45:00,2,SFO,clear-night,44.96,0.26,10.0,Clear,2015-01-01 06:00:00
2015-01-01 07:00:00,8,SFO,clear-night,44.48,0.2,10.0,Clear,2015-01-01 07:00:00
2015-01-01 07:15:00,5,SFO,clear-night,44.48,0.2,10.0,Clear,2015-01-01 07:00:00
2015-01-01 07:30:00,3,SFO,clear-night,44.48,0.2,10.0,Clear,2015-01-01 07:00:00
2015-01-01 07:45:00,1,SFO,clear-night,44.48,0.2,10.0,Clear,2015-01-01 07:00:00
2015-01-01 08:00:00,8,SFO,clear-night,45.08,0.58,10.0,Clear,2015-01-01 08:00:00
2015-01-01 08:15:00,5,SFO,clear-night,45.08,0.58,10.0,Clear,2015-01-01 08:00:00
2015-01-01 08:30:00,14,SFO,clear-night,45.08,0.58,10.0,Clear,2015-01-01 08:00:00
2015-01-01 08:45:00,6,SFO,clear-night,45.08,0.58,10.0,Clear,2015-01-01 08:00:00
2015-01-01 09:00:00,13,SFO,clear-night,45.32,0.41,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:15:00,7,SFO,clear-night,45.32,0.41,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:30:00,3,SFO,clear-night,45.32,0.41,10.0,Clear,2015-01-01 09:00:00
2015-01-01 09:45:00,6,SFO,clear-night,45.32,0.41,10.0,Clear,2015-01-01 09:00:00
2015-01-01 10:00:00,5,SFO,clear-night,44.3,0.55,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:15:00,2,SFO,clear-night,44.3,0.55,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:30:00,9,SFO,clear-night,44.3,0.55,10.0,Clear,2015-01-01 10:00:00
2015-01-01 10:45:00,19,SFO,clear-night,44.3,0.55,10.0,Clear,2015-01-01 10:00:00
2015-01-01 11:00:00,6,SFO,clear-night,44.14,1.36,10.0,Clear,2015-01-01 11:00:00
2015-01-01 11:15:00,4,SFO,clear-night,44.14,1.36,10.0,Clear,2015-01-01 11:00:00
2015-01-01 11:30:00,9,SFO,clear-night,44.14,1.36,10.0,Clear,2015-01-01 11:00:00
2015-01-01 11:45:00,7,SFO,clear-night,44.14,1.36,10.0,Clear,2015-01-01 11:00:00
2015-01-01 12:00:00,5,SFO,clear-night,43.82,1.36,10.0,Clear,2015-01-01 12:00:00
2015-01-01 12:15:00,6,SFO,clear-night,43.82,1.36,10.0,Clear,2015-01-01 12:00:00
2015-01-01 12:30:00,5,SFO,clear-night,43.82,1.36,10.0,Clear,2015-01-01 12:00:00
2015-01-01 12:45:00,10,SFO,clear-night,43.82,1.36,10.0,Clear,2015-01-01 12:00:00
2015-01-01 13:00:00,9,SFO,clear-night,43.27,1.25,10.0,Clear,2015-01-01 13:00:00
2015-01-01 13:15:00,9,SFO,clear-night,43.27,1.25,10.0,Clear,2015-01-01 13:00:00
2015-01-01 13:30:00,7,SFO,clear-night,43.27,1.25,10.0,Clear,2015-01-01 13:00:00
2015-01-01 13:45:00,8,SFO,clear-night,43.27,1.25,10.0,Clear,2015-01-01 13:00:00
2015-01-01 14:00:00,7,SFO,clear-night,43.1,1.94,10.0,Clear,2015-01-01 14:00:00
