apparentTemperature,cloudCover,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,NAME_OF_AIRPORT
40.93,0.15,34.62,0.78,clear-night,,0.0,0.0,,1028.81,Clear,40.93,2015-01-01 00:00:00,0,10.0,336.0,1.01,0.39,ATL
38.76,0.17,33.72,0.82,clear-night,,0.0,0.0,,1029.02,Clear,38.76,2015-01-01 01:00:00,0,10.0,337.0,0.41,0.28,ATL
37.06,0.08,32.44,0.83,clear-night,,0.0,0.0,,1029.26,Clear,37.06,2015-01-01 02:00:00,0,9.68,316.0,0.27,0.25,ATL
35.38,0.0,31.36,0.85,clear-night,,0.0,0.0,,1029.06,Clear,35.38,2015-01-01 03:00:00,0,9.55,326.0,0.18,0.01,ATL
34.27,0.0,30.47,0.86,clear-night,,0.0,0.0,,1029.11,Clear,34.27,2015-01-01 04:00:00,0,9.6,300.0,0.19,0.09,ATL
33.28,0.0,30.02,0.88,clear-night,,0.0,0.0,,1028.82,Clear,33.28,2015-01-01 05:00:00,0,9.05,327.0,0.46,0.01,ATL
33.5,0.0,30.19,0.87,clear-night,,0.0,0.0,,1028.49,Clear,33.5,2015-01-01 06:00:00,0,9.49,287.0,0.73,0.06,ATL
32.79,0.0,29.28,0.87,clear-night,,0.0,0.0,,1028.69,Clear,32.79,2015-01-01 07:00:00,0,9.45,325.0,0.37,0.09,ATL
32.2,0.0,28.63,0.86,clear-night,,0.0,0.0,,1028.5,Clear,32.2,2015-01-01 08:00:00,0,9.6,282.0,0.49,0.05,ATL
30.93,0.1,28.06,0.89,clear-night,,0.0,0.0,,1027.77,Clear,30.93,2015-01-01 09:00:00,0,9.21,0.0,0.15,0.02,ATL
30.73,0.0,27.78,0.89,clear-night,,0.0,0.0,,1027.03,Clear,30.73,2015-01-01 10:00:00,0,8.29,329.0,0.55,0.15,ATL
29.95,0.0,27.22,0.89,clear-night,,0.0,0.0,,1027.35,Clear,29.95,2015-01-01 11:00:00,0,8.56,309.0,0.2,0.08,ATL
29.68,0.07,26.84,0.89,clear-night,,0.0,0.0,,1028.07,Clear,29.68,2015-01-01 12:00:00,0,9.67,274.0,0.15,0.06,ATL
29.7,0.17,26.97,0.89,clear-day,,0.0,0.0,,1028.35,Clear,29.7,2015-01-01 13:00:00,0,9.05,270.0,0.29,0.02,ATL
31.69,0.2,29.1,0.9,clear-day,,0.0,0.0,,1028.0,Clear,31.69,2015-01-01 14:00:00,0,10.0,,0.07,0.0,ATL
38.83,0.03,30.63,0.72,clear-day,,0.0,0.0,,1028.79,Clear,38.83,2015-01-01 15:00:00,1,9.64,302.0,1.06,0.14,ATL
44.59,0.03,28.95,0.54,clear-day,,0.0,0.0,,1028.59,Clear,44.59,2015-01-01 16:00:00,2,10.0,286.0,2.42,0.41,ATL
49.08,0.0,27.1,0.42,clear-day,,0.0,0.0,,1027.05,Clear,49.08,2015-01-01 17:00:00,3,10.0,254.0,3.24,0.46,ATL
52.21,0.54,26.97,0.37,partly-cloudy-day,,0.0,0.0,,1026.13,Partly Cloudy,52.21,2015-01-01 18:00:00,3,10.0,253.0,4.21,0.94,ATL
53.78,0.81,28.58,0.38,partly-cloudy-day,,0.0,0.0,,1025.45,Mostly Cloudy,53.78,2015-01-01 19:00:00,2,10.0,266.0,3.78,0.89,ATL
54.45,0.8,29.64,0.38,partly-cloudy-day,,0.0,0.0,,1024.86,Mostly Cloudy,54.45,2015-01-01 20:00:00,1,10.0,264.0,3.38,0.61,ATL
54.07,0.99,30.69,0.41,cloudy,,0.0,0.0,,1025.16,Overcast,54.07,2015-01-01 21:00:00,1,10.0,299.0,1.77,0.28,ATL
52.73,0.99,32.32,0.46,cloudy,,0.0,0.0,,1025.52,Overcast,52.73,2015-01-01 22:00:00,0,10.0,323.0,0.73,0.2,ATL
50.37,0.66,33.0,0.51,partly-cloudy-night,,0.0,0.0,,1025.54,Mostly Cloudy,50.37,2015-01-01 23:00:00,0,10.0,299.0,0.32,0.08,ATL
48.51,0.82,33.55,0.56,partly-cloudy-night,,0.0,0.0,,1026.19,Mostly Cloudy,48.51,2015-01-02 00:00:00,0,10.0,320.0,0.75,0.18,ATL
47.08,0.99,35.92,0.65,cloudy,,0.0,0.0,,1027.34,Overcast,47.08,2015-01-02 01:00:00,0,10.0,324.0,1.76,0.64,ATL
44.8,0.99,38.28,0.78,cloudy,,0.0034,0.43,rain,1027.84,Overcast,44.8,2015-01-02 02:00:00,0,9.82,321.0,0.81,0.24,ATL
43.24,1.0,39.13,0.85,cloudy,,0.0097,0.84,rain,1028.45,Overcast,43.24,2015-01-02 03:00:00,0,10.0,286.0,0.34,0.09,ATL
42.34,0.95,39.44,0.89,rain,,0.0204,0.93,rain,1027.61,Light Rain,42.34,2015-01-02 04:00:00,0,9.35,338.0,0.26,0.03,ATL
41.85,0.98,39.68,0.92,rain,,0.0183,0.92,rain,1026.78,Light Rain,41.85,2015-01-02 05:00:00,0,10.0,0.0,0.2,0.04,ATL
41.39,0.66,39.21,0.92,partly-cloudy-night,,0.001,0.39,rain,1025.77,Mostly Cloudy,41.39,2015-01-02 06:00:00,0,9.15,0.0,0.28,0.01,ATL
41.24,0.92,39.54,0.94,partly-cloudy-night,,0.0,0.0,,1025.22,Mostly Cloudy,41.24,2015-01-02 07:00:00,0,8.99,0.0,0.17,0.01,ATL
41.4,0.92,39.76,0.94,partly-cloudy-night,,0.0,0.0,,1025.03,Mostly Cloudy,41.4,2015-01-02 08:00:00,0,9.44,22.0,0.09,0.01,ATL
41.7,0.95,40.21,0.94,cloudy,,0.0004,0.08,rain,1025.2,Overcast,41.7,2015-01-02 09:00:00,0,9.04,,0.11,0.0,ATL
41.96,0.92,40.57,0.95,partly-cloudy-night,,0.0,0.0,,1025.03,Mostly Cloudy,41.96,2015-01-02 10:00:00,0,9.62,285.0,0.28,0.01,ATL
42.34,0.9,40.98,0.95,partly-cloudy-night,,0.0023,0.36,rain,1025.32,Mostly Cloudy,42.34,2015-01-02 11:00:00,0,8.31,95.0,0.22,0.01,ATL
42.32,0.94,40.92,0.95,cloudy,,0.0118,0.75,rain,1024.77,Overcast,42.32,2015-01-02 12:00:00,0,7.38,270.0,0.53,0.04,ATL
42.58,1.0,41.4,0.96,cloudy,,0.0081,0.67,rain,1026.27,Overcast,42.58,2015-01-02 13:00:00,0,6.83,216.0,0.57,0.17,ATL
43.32,1.0,42.11,0.95,rain,,0.0181,0.81,rain,1026.06,Light Rain,43.32,2015-01-02 14:00:00,0,7.16,75.0,1.54,0.01,ATL
44.43,0.99,42.96,0.95,cloudy,,0.0061,0.68,rain,1027.1,Overcast,44.43,2015-01-02 15:00:00,1,8.47,353.0,1.11,0.51,ATL
45.64,1.0,44.07,0.94,cloudy,,0.0036,0.5,rain,1027.54,Overcast,45.64,2015-01-02 16:00:00,2,8.07,333.0,0.99,0.14,ATL
46.38,1.0,44.81,0.94,cloudy,,0.0077,0.72,rain,1027.39,Overcast,46.38,2015-01-02 17:00:00,2,6.19,351.0,0.97,0.12,ATL
46.56,1.0,45.25,0.95,rain,,0.0249,0.84,rain,1026.07,Light Rain,46.56,2015-01-02 18:00:00,2,4.93,21.0,1.1,0.09,ATL
46.97,1.0,45.62,0.95,rain,,0.0188,0.84,rain,1025.65,Light Rain,46.97,2015-01-02 19:00:00,2,6.78,11.0,1.56,0.42,ATL
46.75,1.0,45.46,0.95,rain,,0.0171,0.73,rain,1025.87,Light Rain,46.75,2015-01-02 20:00:00,1,3.98,26.0,1.95,0.44,ATL
46.55,1.0,45.39,0.96,rain,,0.0431,0.77,rain,1026.21,Light Rain,46.55,2015-01-02 21:00:00,1,3.98,33.0,1.85,0.41,ATL
46.67,1.0,45.45,0.95,rain,,0.0293,0.81,rain,1025.91,Light Rain,46.67,2015-01-02 22:00:00,0,4.35,83.0,0.81,0.2,ATL
46.71,1.0,45.61,0.96,cloudy,,0.0145,0.75,rain,1026.05,Overcast,46.71,2015-01-02 23:00:00,0,6.09,95.0,1.47,0.35,ATL
46.88,1.0,45.93,0.96,rain,,0.0116,0.85,rain,1026.04,Light Rain,46.88,2015-01-03 00:00:00,0,4.36,92.0,1.35,0.46,ATL
46.96,1.0,46.17,0.97,rain,,0.0513,0.84,rain,1025.37,Light Rain,46.96,2015-01-03 01:00:00,0,3.49,101.0,2.25,0.49,ATL
47.39,1.0,46.4,0.96,rain,,0.0943,0.82,rain,1026.06,Rain,47.39,2015-01-03 02:00:00,0,3.08,108.0,1.32,0.6,ATL
47.6,1.0,46.67,0.97,rain,,0.0437,0.81,rain,1025.86,Light Rain,47.6,2015-01-03 03:00:00,0,5.84,119.0,1.81,0.76,ATL
47.33,1.0,46.31,0.96,cloudy,,0.0017,0.25,rain,1025.67,Overcast,47.33,2015-01-03 04:00:00,0,8.6,112.0,2.51,0.89,ATL
47.2,1.0,46.23,0.96,cloudy,,0.0,0.0,,1025.34,Overcast,47.2,2015-01-03 05:00:00,0,10.0,112.0,2.1,0.97,ATL
47.4,1.0,45.98,0.95,cloudy,,0.0,0.0,,1025.26,Overcast,47.4,2015-01-03 06:00:00,0,10.0,93.0,2.16,0.76,ATL
47.34,1.0,45.97,0.95,cloudy,,0.0,0.0,,1024.86,Overcast,47.34,2015-01-03 07:00:00,0,9.87,97.0,2.09,0.92,ATL
