apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,NAME_OF_AIRPORT
44.44,1.0,36.08,0.72,cloudy,0.0,0.0,,1028.37,Overcast,44.44,2015-01-01 00:00:00,0,10.0,25.0,8.0,2.43,IAH
44.19,1.0,36.02,0.73,cloudy,0.0,0.0,,1028.4,Overcast,44.19,2015-01-01 01:00:00,0,10.0,28.0,8.75,2.93,IAH
42.76,1.0,35.92,0.73,cloudy,0.0,0.0,,1029.0,Overcast,44.07,2015-01-01 02:00:00,0,10.0,25.0,8.8,3.21,IAH
43.99,1.0,35.84,0.73,cloudy,0.0,0.0,,1029.39,Overcast,43.99,2015-01-01 03:00:00,0,10.0,35.0,8.23,2.6,IAH
43.81,1.0,35.71,0.73,cloudy,0.0,0.0,,1029.31,Overcast,43.81,2015-01-01 04:00:00,0,10.0,33.0,7.14,2.12,IAH
43.74,1.0,35.65,0.73,cloudy,0.0,0.0,,1028.71,Overcast,43.74,2015-01-01 05:00:00,0,10.0,39.0,6.82,2.24,IAH
43.58,1.0,35.75,0.74,cloudy,0.0,0.0,,1027.78,Overcast,43.58,2015-01-01 06:00:00,0,10.0,31.0,6.05,1.9,IAH
43.46,1.0,35.69,0.74,cloudy,0.0,0.0,,1027.15,Overcast,43.46,2015-01-01 07:00:00,0,10.0,37.0,5.74,1.8,IAH
43.05,1.0,36.23,0.77,cloudy,0.0004,0.07,rain,1026.84,Overcast,43.05,2015-01-01 08:00:00,0,10.0,36.0,4.12,0.85,IAH
42.69,1.0,36.47,0.78,cloudy,0.0005,0.13,rain,1026.1,Overcast,42.69,2015-01-01 09:00:00,0,10.0,35.0,4.76,1.39,IAH
42.15,1.0,36.44,0.8,cloudy,0.0002,0.06,rain,1025.22,Overcast,42.15,2015-01-01 10:00:00,0,10.0,32.0,5.92,2.07,IAH
41.92,1.0,36.52,0.81,cloudy,0.0012,0.26,rain,1024.61,Overcast,41.92,2015-01-01 11:00:00,0,10.0,41.0,5.98,2.01,IAH
41.84,1.0,36.87,0.82,cloudy,0.0007,0.22,rain,1024.24,Overcast,41.84,2015-01-01 12:00:00,0,10.0,51.0,5.72,1.71,IAH
41.78,1.0,37.57,0.85,cloudy,0.0,0.0,,1025.22,Overcast,41.78,2015-01-01 13:00:00,0,10.0,16.0,3.41,0.86,IAH
41.19,1.0,38.12,0.89,cloudy,0.0034,0.39,rain,1025.85,Overcast,41.19,2015-01-01 14:00:00,0,6.32,5.0,5.85,1.88,IAH
41.11,1.0,38.68,0.91,rain,0.0128,0.8,rain,1025.89,Light Rain,41.11,2015-01-01 15:00:00,1,6.94,29.0,7.14,2.29,IAH
41.73,1.0,39.21,0.91,cloudy,0.0059,0.52,rain,1025.48,Overcast,41.73,2015-01-01 16:00:00,1,9.04,39.0,8.33,2.53,IAH
41.12,1.0,39.84,0.9,cloudy,0.0004,0.12,rain,1024.55,Overcast,42.49,2015-01-01 17:00:00,2,9.58,51.0,8.36,3.06,IAH
42.96,1.0,40.3,0.9,cloudy,0.0014,0.13,rain,1023.55,Overcast,42.96,2015-01-01 18:00:00,3,5.24,44.0,6.4,2.29,IAH
43.02,1.0,41.0,0.92,cloudy,0.004,0.6,rain,1021.9,Overcast,43.02,2015-01-01 19:00:00,3,2.34,54.0,6.05,1.95,IAH
43.39,1.0,41.62,0.93,cloudy,0.0097,0.66,rain,1020.86,Overcast,43.39,2015-01-01 20:00:00,2,2.7,36.0,5.21,1.45,IAH
43.8,1.0,42.18,0.94,rain,0.013000000000000001,0.86,rain,1019.98,Light Rain,43.8,2015-01-01 21:00:00,1,2.96,43.0,5.35,1.52,IAH
44.27,1.0,42.61,0.94,cloudy,0.0103,0.76,rain,1020.05,Overcast,44.27,2015-01-01 22:00:00,1,2.7,35.0,4.75,1.24,IAH
44.4,1.0,42.99,0.95,rain,0.0226,0.82,rain,1020.19,Light Rain,44.4,2015-01-01 23:00:00,0,2.68,22.0,4.47,1.37,IAH
44.65,1.0,43.36,0.95,rain,0.0201,0.88,rain,1020.13,Light Rain,44.65,2015-01-02 00:00:00,0,2.92,22.0,4.35,1.25,IAH
45.09,1.0,43.83,0.95,rain,0.0137,0.81,rain,1020.07,Light Rain,45.09,2015-01-02 01:00:00,0,2.88,42.0,5.11,1.35,IAH
45.34,1.0,44.13,0.95,rain,0.0104,0.88,rain,1019.84,Light Rain,45.34,2015-01-02 02:00:00,0,4.12,48.0,4.78,1.14,IAH
45.58,1.0,44.46,0.96,cloudy,0.0054,0.66,rain,1020.03,Overcast,45.58,2015-01-02 03:00:00,0,3.98,32.0,3.92,0.93,IAH
45.8,1.0,44.56,0.95,cloudy,0.0018,0.43,rain,1020.13,Overcast,45.8,2015-01-02 04:00:00,0,3.5,19.0,4.21,0.98,IAH
45.76,1.0,44.65,0.96,cloudy,0.0018,0.32,rain,1019.71,Overcast,45.76,2015-01-02 05:00:00,0,2.13,23.0,4.29,1.23,IAH
45.98,1.0,44.83,0.96,fog,0.0025,0.47,rain,1019.56,Foggy,45.98,2015-01-02 06:00:00,0,1.89,31.0,4.09,1.1,IAH
46.09,1.0,45.04,0.96,fog,0.0017,0.41,rain,1019.55,Foggy,46.09,2015-01-02 07:00:00,0,1.8,7.0,4.1,0.97,IAH
46.1,1.0,45.13,0.96,fog,0.0016,0.42,rain,1019.36,Foggy,46.1,2015-01-02 08:00:00,0,1.59,23.0,4.23,1.12,IAH
46.19,1.0,45.2,0.96,fog,0.0011,0.31,rain,1019.47,Foggy,46.19,2015-01-02 09:00:00,0,1.83,9.0,4.8,1.16,IAH
46.24,1.0,45.3,0.96,fog,0.0003,0.12,rain,1019.48,Foggy,46.24,2015-01-02 10:00:00,0,1.9,16.0,4.57,1.23,IAH
46.38,1.0,45.41,0.96,cloudy,0.0,0.0,,1019.3,Overcast,46.38,2015-01-02 11:00:00,0,3.36,14.0,3.66,1.09,IAH
46.4,1.0,45.41,0.96,cloudy,0.0003,0.11,rain,1019.15,Overcast,46.4,2015-01-02 12:00:00,0,4.38,14.0,3.4,0.91,IAH
46.59,1.0,45.43,0.96,cloudy,0.0,0.0,,1019.75,Overcast,46.59,2015-01-02 13:00:00,0,3.41,21.0,3.22,0.76,IAH
46.87,1.0,45.85,0.96,fog,0.0,0.0,,1020.04,Foggy,46.87,2015-01-02 14:00:00,0,1.42,27.0,2.59,0.55,IAH
47.79,1.0,46.77,0.96,cloudy,0.0,0.0,,1019.9,Overcast,47.79,2015-01-02 15:00:00,1,3.4,48.0,4.71,1.21,IAH
49.36,1.0,48.17,0.96,cloudy,0.0,0.0,,1020.0,Overcast,49.36,2015-01-02 16:00:00,1,6.07,57.0,5.15,1.26,IAH
50.87,1.0,49.63,0.96,cloudy,0.0,0.0,,1019.33,Overcast,50.87,2015-01-02 17:00:00,2,5.66,62.0,3.91,1.04,IAH
51.79,1.0,50.39,0.95,cloudy,0.0,0.0,,1018.35,Overcast,51.79,2015-01-02 18:00:00,3,4.67,72.0,2.01,0.37,IAH
52.19,1.0,50.73,0.95,cloudy,0.0064,0.74,rain,1017.34,Overcast,52.19,2015-01-02 19:00:00,3,3.29,17.0,1.81,0.12,IAH
52.58,1.0,51.17,0.95,rain,0.01,0.82,rain,1016.27,Light Rain,52.58,2015-01-02 20:00:00,2,5.97,15.0,2.04,0.3,IAH
52.63,1.0,51.27,0.95,cloudy,0.0068,0.52,rain,1015.89,Overcast,52.63,2015-01-02 21:00:00,1,2.13,15.0,2.02,0.38,IAH
52.69,1.0,51.47,0.96,cloudy,0.0061,0.59,rain,1015.51,Overcast,52.69,2015-01-02 22:00:00,1,5.12,28.0,2.28,0.61,IAH
