apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,NAME_OF_AIRPORT
35.7,0.95,7.72,0.26,cloudy,0.0,0.0,,1015.9,Overcast,39.63,2015-01-01 00:00:00,0,10.0,38.0,14.66,5.46,LAS
34.55,1.0,8.87,0.28,cloudy,0.0,0.0,,1015.88,Overcast,38.84,2015-01-01 01:00:00,0,10.0,41.0,14.11,5.76,LAS
33.84,1.0,13.82,0.37,cloudy,0.0,0.0,,1016.47,Overcast,37.8,2015-01-01 02:00:00,0,10.0,48.0,13.05,5.07,LAS
32.87,1.0,15.04,0.4,cloudy,0.0,0.0,,1016.77,Overcast,37.05,2015-01-01 03:00:00,0,10.0,52.0,13.19,5.17,LAS
32.55,0.93,15.57,0.43,partly-cloudy-night,0.0,0.0,,1016.86,Mostly Cloudy,36.11,2015-01-01 04:00:00,0,10.0,38.0,10.88,4.28,LAS
32.62,0.93,15.19,0.43,partly-cloudy-night,0.0,0.0,,1017.05,Mostly Cloudy,35.3,2015-01-01 05:00:00,0,10.0,30.0,9.11,3.35,LAS
34.76,0.95,16.37,0.47,cloudy,0.0,0.0,,1017.75,Overcast,34.76,2015-01-01 06:00:00,0,10.0,33.0,8.57,1.64,LAS
34.57,0.94,16.99,0.48,cloudy,0.0,0.0,,1017.95,Overcast,34.57,2015-01-01 07:00:00,0,10.0,37.0,7.79,1.31,LAS
34.23,0.83,16.1,0.47,partly-cloudy-night,0.0,0.0,,1017.51,Mostly Cloudy,34.23,2015-01-01 08:00:00,0,10.0,18.0,6.28,1.15,LAS
33.39,1.0,15.19,0.47,cloudy,0.0,0.0,,1017.46,Overcast,33.39,2015-01-01 09:00:00,0,10.0,350.0,7.4,1.31,LAS
32.79,1.0,15.8,0.49,cloudy,0.0,0.0,,1017.84,Overcast,32.79,2015-01-01 10:00:00,0,10.0,292.0,5.82,0.5,LAS
32.55,0.85,14.98,0.48,partly-cloudy-night,0.0,0.0,,1018.31,Mostly Cloudy,32.55,2015-01-01 11:00:00,0,10.0,332.0,5.38,0.73,LAS
32.09,0.42,14.51,0.48,partly-cloudy-night,0.0,0.0,,1018.53,Partly Cloudy,32.09,2015-01-01 12:00:00,0,10.0,31.0,5.17,1.21,LAS
32.31,0.48,15.3,0.49,partly-cloudy-night,0.0,0.0,,1018.96,Partly Cloudy,32.31,2015-01-01 13:00:00,0,10.0,30.0,8.23,2.63,LAS
31.36,0.4,16.41,0.53,partly-cloudy-night,0.0,0.0,,1020.08,Partly Cloudy,31.36,2015-01-01 14:00:00,0,10.0,339.0,6.99,1.28,LAS
30.79,0.14,15.55,0.53,clear-day,0.0,0.0,,1021.08,Clear,30.79,2015-01-01 15:00:00,0,10.0,250.0,5.26,0.43,LAS
33.27,0.06,16.7,0.5,clear-day,0.0,0.0,,1022.01,Clear,33.27,2015-01-01 16:00:00,0,10.0,259.0,5.06,0.57,LAS
36.44,0.0,17.02,0.45,clear-day,0.0,0.0,,1022.39,Clear,36.44,2015-01-01 17:00:00,1,10.0,252.0,6.19,0.83,LAS
39.09,0.0,17.11,0.4,clear-day,0.0,0.0,,1022.74,Clear,39.09,2015-01-01 18:00:00,2,10.0,151.0,5.79,0.41,LAS
40.74,0.0,16.0,0.36,clear-day,0.0,0.0,,1022.07,Clear,40.74,2015-01-01 19:00:00,2,10.0,55.0,6.94,1.3,LAS
42.28,0.0,14.73,0.32,clear-day,0.0,0.0,,1021.37,Clear,42.28,2015-01-01 20:00:00,3,10.0,40.0,6.99,1.07,LAS
44.08,0.0,13.54,0.29,clear-day,0.0,0.0,,1020.57,Clear,44.08,2015-01-01 21:00:00,2,10.0,93.0,6.75,0.27,LAS
44.21,0.0,12.07,0.27,clear-day,0.0,0.0,,1020.15,Clear,44.21,2015-01-01 22:00:00,1,10.0,156.0,5.8,0.94,LAS
44.75,0.0,11.54,0.25,clear-day,0.0,0.0,,1020.45,Clear,44.75,2015-01-01 23:00:00,1,10.0,126.0,7.02,1.44,LAS
43.45,0.0,11.28,0.26,clear-day,0.0,0.0,,1020.87,Clear,43.45,2015-01-02 00:00:00,0,10.0,97.0,4.7,1.04,LAS
41.25,0.0,11.62,0.29,clear-night,0.0,0.0,,1021.08,Clear,41.25,2015-01-02 01:00:00,0,10.0,87.0,3.31,1.05,LAS
38.15,0.0,12.61,0.34,clear-night,0.0,0.0,,1022.2,Clear,38.15,2015-01-02 02:00:00,0,10.0,75.0,3.73,1.31,LAS
36.29,0.0,12.96,0.38,clear-night,0.0,0.0,,1023.19,Clear,36.29,2015-01-02 03:00:00,0,10.0,350.0,2.42,0.25,LAS
34.81,0.0,13.13,0.4,clear-night,0.0,0.0,,1023.69,Clear,34.81,2015-01-02 04:00:00,0,10.0,352.0,2.66,0.57,LAS
34.14,0.0,13.1,0.41,clear-night,0.0,0.0,,1023.13,Clear,34.14,2015-01-02 05:00:00,0,10.0,322.0,3.71,1.07,LAS
33.0,0.0,13.15,0.43,clear-night,0.0,0.0,,1023.13,Clear,33.0,2015-01-02 06:00:00,0,10.0,316.0,4.44,1.25,LAS
32.27,0.0,13.25,0.45,clear-night,0.0,0.0,,1022.89,Clear,32.27,2015-01-02 07:00:00,0,10.0,292.0,3.38,0.75,LAS
31.11,0.0,12.81,0.46,clear-night,0.0,0.0,,1022.61,Clear,31.11,2015-01-02 08:00:00,0,10.0,305.0,4.46,1.49,LAS
30.34,0.0,12.1,0.46,clear-night,0.0,0.0,,1022.57,Clear,30.34,2015-01-02 09:00:00,0,10.0,308.0,3.08,1.21,LAS
30.18,0.0,12.07,0.46,clear-night,0.0,0.0,,1022.48,Clear,30.18,2015-01-02 10:00:00,0,10.0,298.0,2.91,1.25,LAS
28.67,0.0,11.89,0.49,clear-night,0.0,0.0,,1022.79,Clear,28.67,2015-01-02 11:00:00,0,10.0,331.0,2.84,0.59,LAS
