apparentTemperature,cloudCover,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,NAME_OF_AIRPORT
8.23,0.06,4.04,0.55,clear-night,,0.0,0.0,,1024.07,Clear,17.55,2015-01-01 00:00:00,0.0,7.64,236.0,16.48,6.83,ORD
8.27,0.43,4.44,0.55,partly-cloudy-night,,0.0,0.0,,1023.49,Partly Cloudy,17.7,2015-01-01 01:00:00,0.0,7.93,233.0,16.65,6.99,ORD
8.71,0.06,5.0,0.57,clear-night,,0.0,0.0,,1023.67,Clear,17.72,2015-01-01 02:00:00,0.0,7.88,239.0,15.99,6.53,ORD
9.07,0.0,5.21,0.57,clear-night,,0.0,0.0,,1023.37,Clear,17.91,2015-01-01 03:00:00,0.0,7.88,234.0,15.63,6.39,ORD
9.1,0.0,4.75,0.56,clear-night,,0.0,0.0,,1022.95,Clear,17.82,2015-01-01 04:00:00,0.0,7.88,239.0,15.69,6.25,ORD
8.48,0.0,4.81,0.56,clear-night,,0.0,0.0,,1022.41,Clear,17.77,2015-01-01 05:00:00,0.0,7.88,240.0,15.98,6.85,ORD
7.89,0.0,5.31,0.58,clear-night,,0.0,0.0,,1021.45,Clear,17.5,2015-01-01 06:00:00,0.0,7.88,237.0,16.35,7.15,ORD
7.65,0.0,5.75,0.6,clear-night,,0.0,0.0,,1020.54,Clear,17.16,2015-01-01 07:00:00,0.0,7.88,239.0,15.72,6.96,ORD
7.4,0.0,6.43,0.63,clear-night,,0.0,0.0,,1020.19,Clear,16.66,2015-01-01 08:00:00,0.0,7.88,240.0,15.62,6.59,ORD
6.63,0.0,6.87,0.66,clear-night,,0.0,0.0,,1019.88,Clear,16.17,2015-01-01 09:00:00,0.0,7.88,244.0,15.92,6.77,ORD
6.36,0.0,7.08,0.68,clear-night,,0.0,0.0,,1019.16,Clear,15.65,2015-01-01 10:00:00,0.0,7.88,243.0,13.92,6.4,ORD
6.36,0.0,7.24,0.7,clear-night,,0.0,0.0,,1017.98,Clear,15.22,2015-01-01 11:00:00,0.0,7.88,238.0,13.72,5.89,ORD
5.68,0.0,7.36,0.71,clear-night,,0.0,0.0,,1018.26,Clear,15.18,2015-01-01 12:00:00,0.0,7.88,236.0,13.68,6.52,ORD
6.91,0.05,7.54,0.71,clear-night,,0.0,0.0,,1018.2,Clear,15.21,2015-01-01 13:00:00,0.0,7.88,237.0,13.35,5.38,ORD
6.8,0.19,7.99,0.71,clear-day,,0.0,0.0,,1018.71,Clear,15.53,2015-01-01 14:00:00,0.0,7.88,239.0,13.4,5.83,ORD
8.57,0.19,8.75,0.68,clear-day,,0.0,0.0,,1018.83,Clear,17.38,2015-01-01 15:00:00,0.0,7.88,239.0,15.25,6.26,ORD
11.71,0.21,10.27,0.64,clear-day,,0.0,0.0,,1018.13,Clear,20.43,2015-01-01 16:00:00,1.0,7.88,236.0,16.09,6.82,ORD
15.29,0.21,12.09,0.61,clear-day,,0.0,0.0,,1017.57,Clear,23.61,2015-01-01 17:00:00,1.0,7.88,242.0,17.4,7.13,ORD
18.62,0.42,13.8,0.59,partly-cloudy-day,,0.0,0.0,,1016.5,Partly Cloudy,26.12,2015-01-01 18:00:00,2.0,7.88,246.0,17.49,6.74,ORD
21.47,0.47,15.08,0.57,partly-cloudy-day,,0.0,0.0,,1015.99,Partly Cloudy,28.52,2015-01-01 19:00:00,1.0,7.88,242.0,15.98,6.79,ORD
23.78,0.86,16.08,0.55,partly-cloudy-day,,0.0,0.0,,1015.78,Mostly Cloudy,30.14,2015-01-01 20:00:00,1.0,7.88,236.0,15.92,6.3,ORD
