apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed,NAME_OF_AIRPORT
56.64,0.27,13.84,0.18,partly-cloudy-day,0.0,0.0,,1019.18,Partly Cloudy,56.64,2015-01-01 00:00:00,0.0,10.0,341.0,5.7,1.93,SFO
54.51,0.17,18.62,0.24,clear-night,0.0,0.0,,1018.56,Clear,54.51,2015-01-01 01:00:00,0.0,10.0,314.0,3.44,1.01,SFO
50.93,0.0,21.87,0.32,clear-night,0.0,0.0,,1018.6,Clear,50.93,2015-01-01 02:00:00,0.0,10.0,286.0,3.04,1.01,SFO
48.83,0.0,23.62,0.37,clear-night,0.0,0.0,,1018.93,Clear,48.83,2015-01-01 03:00:00,0.0,10.0,293.0,3.2,0.8,SFO
46.72,0.0,23.41,0.4,clear-night,0.0,0.0,,1018.6,Clear,46.72,2015-01-01 04:00:00,0.0,10.0,328.0,2.1,0.07,SFO
45.51,0.0,23.46,0.41,clear-night,0.0,0.0,,1018.48,Clear,45.51,2015-01-01 05:00:00,0.0,10.0,91.0,2.38,0.26,SFO
44.96,0.0,23.53,0.42,clear-night,0.0,0.0,,1018.43,Clear,44.96,2015-01-01 06:00:00,0.0,10.0,68.0,2.5,0.26,SFO
44.48,0.0,22.81,0.42,clear-night,0.0,0.0,,1018.52,Clear,44.48,2015-01-01 07:00:00,0.0,10.0,86.0,2.72,0.2,SFO
45.08,0.0,22.57,0.41,clear-night,0.0,0.0,,1018.37,Clear,45.08,2015-01-01 08:00:00,0.0,10.0,66.0,4.07,0.58,SFO
45.32,0.0,20.92,0.38,clear-night,0.0,0.0,,1018.34,Clear,45.32,2015-01-01 09:00:00,0.0,10.0,44.0,4.37,0.41,SFO
44.3,0.0,20.89,0.39,clear-night,0.0,0.0,,1018.8,Clear,44.3,2015-01-01 10:00:00,0.0,10.0,61.0,5.25,0.55,SFO
44.14,0.0,20.74,0.39,clear-night,0.0,0.0,,1018.67,Clear,44.14,2015-01-01 11:00:00,0.0,10.0,72.0,6.43,1.36,SFO
43.82,0.0,20.83,0.4,clear-night,0.0,0.0,,1018.56,Clear,43.82,2015-01-01 12:00:00,0.0,10.0,61.0,6.37,1.36,SFO
43.27,0.0,21.28,0.41,clear-night,0.0,0.0,,1018.58,Clear,43.27,2015-01-01 13:00:00,0.0,10.0,53.0,4.99,1.25,SFO
